ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2021-08-06T20:33:10+0200,Ca9bHD4ymnVlxAqt3e,10.1.1.155,61438,10.1.1.10,4004,tcp,-,0.003702,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CtF82A3ZCdvppiVqfi,10.1.1.155,61438,10.1.1.10,1059,tcp,-,0.003604,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,Cm445b1E1oO763sVPh,10.1.1.155,61438,10.1.1.10,15004,tcp,-,0.003657,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CHOa7mcbo20vqhyvh,10.1.1.155,61438,10.1.1.10,5987,tcp,-,0.003573,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CN1NwH1ip6lfIl4IWg,10.1.1.155,61438,10.1.1.10,9503,tcp,-,0.003382,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CgXvmC3dldpwRTAJTh,10.1.1.155,61438,10.1.1.10,8300,tcp,-,0.003393,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CGN6sB3EHMo2IJhag4,10.1.1.155,61438,10.1.1.10,1082,tcp,-,0.003345,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CmroMp1ETBaRdlcKza,10.1.1.155,61438,10.1.1.10,31337,tcp,-,0.003312,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C6QEd825GuQjys889l,10.1.1.155,61438,10.1.1.10,1092,tcp,-,0.004008,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CkJvT825XwtxY64L23,10.1.1.155,61438,10.1.1.10,5801,tcp,-,0.004007,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CZ8Wig3J9Ny6YPMaFc,10.1.1.155,61438,10.1.1.10,990,tcp,-,0.003973,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C99Uly2EKpLmrIO7Ne,10.1.1.155,61438,10.1.1.10,179,tcp,-,0.003940,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CnBMpp3yf48RpY4Cl9,10.1.1.155,61438,10.1.1.10,2000,tcp,-,0.003764,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CqWLHh44u7bpf13YKh,10.1.1.155,61438,10.1.1.10,49999,tcp,-,0.003676,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C9tX2j1tZN2V2TvCW5,10.1.1.155,61438,10.1.1.10,4045,tcp,-,0.003583,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CbJ3n94a05RjcWTr3a,10.1.1.155,61438,10.1.1.10,500,tcp,-,0.003447,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CZXoWbrKhT3tcK8e3,10.1.1.155,61438,10.1.1.10,1434,tcp,-,0.003249,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C1osGsHB7Z1ykN7Md,10.1.1.155,61438,10.1.1.10,20828,tcp,-,0.003153,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CIbG8ilpxxeuiXrg1,10.1.1.155,61438,10.1.1.10,7911,tcp,-,0.003004,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C9dq3K1IXWRv2bgfAi,10.1.1.155,61438,10.1.1.10,1083,tcp,-,0.003009,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,Cr2gU82cg0ttBXy61d,10.1.1.155,61438,10.1.1.10,10002,tcp,-,0.002868,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CXftAWkBNPZ16nXO9,10.1.1.155,61438,10.1.1.10,3261,tcp,-,0.002571,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CDzr8n4YsOxlkGMZI9,10.1.1.155,61438,10.1.1.10,1165,tcp,-,0.002365,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CAvODP2oMjiXTDCbbg,10.1.1.155,61438,10.1.1.10,6346,tcp,-,0.002359,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CjchPA24Qh5Nj6f2N5,10.1.1.155,61438,10.1.1.10,7741,tcp,-,0.002372,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CYkSn75H54Gei6o8j,10.1.1.155,61438,10.1.1.10,7007,tcp,-,0.002319,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CavUo486O4lRqikK3,10.1.1.155,61438,10.1.1.10,5080,tcp,-,0.002668,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CLu5xa4kcyu8BuGGd9,10.1.1.155,61438,10.1.1.10,3889,tcp,-,0.002718,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CcTGhX1JnCOzt5zD5l,10.1.1.155,61438,10.1.1.10,16992,tcp,-,0.002581,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CLU7P1rWdMBS7gOL6,10.1.1.155,61438,10.1.1.10,2100,tcp,-,0.002487,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C6QNSJZkdIOUgy3b,10.1.1.155,61438,10.1.1.10,1119,tcp,-,0.002917,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CFwm5B32yR9UkEJWh,10.1.1.155,61438,10.1.1.10,9101,tcp,-,0.003527,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CvBaOmSTEOleaEZO5,10.1.1.155,61438,10.1.1.10,5190,tcp,-,0.003438,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,Cr2jCT1m2s83NeYrcf,10.1.1.155,61438,10.1.1.10,2920,tcp,-,0.003332,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,Ctx02s4U1iBTPBCOV9,10.1.1.155,61438,10.1.1.10,5859,tcp,-,0.003371,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,COF9Qy1wd6YARbXRP8,10.1.1.155,61438,10.1.1.10,1048,tcp,-,0.003385,0,0,REJ,-,-,0,Sr,1,44,1,40,-
